iter	Accuracy	Logloss
611	0.8814449918	0.3403626591
612	0.8814449918	0.3402085979
613	0.881773399	0.3400437128
614	0.8816091954	0.3398982306
615	0.8819376026	0.339706486
616	0.8819376026	0.3395572355
617	0.8819376026	0.3393955575
618	0.8819376026	0.3392327169
619	0.881773399	0.339096816
620	0.881773399	0.338907597
621	0.8816091954	0.3387522931
622	0.881773399	0.3385917776
623	0.881773399	0.338422603
624	0.8821018062	0.3382689027
625	0.8821018062	0.3380931134
626	0.8821018062	0.3379308741
627	0.8827586207	0.3377115485
628	0.8824302135	0.3375852287
629	0.8825944171	0.3373988961
630	0.8825944171	0.3372227861
631	0.8824302135	0.3370766225
632	0.8822660099	0.3369031584
633	0.8819376026	0.3367892261
634	0.8821018062	0.3365987242
635	0.8824302135	0.3364309928
636	0.8824302135	0.3363189447
637	0.8821018062	0.336135318
638	0.8822660099	0.3360021632
639	0.8824302135	0.3358518102
640	0.8825944171	0.3356978894
641	0.8824302135	0.3355287348
642	0.8827586207	0.335389286
643	0.8825944171	0.3351984033
644	0.8829228243	0.3350357431
645	0.8827586207	0.3349261605
646	0.8830870279	0.3347604535
647	0.8829228243	0.3345610119
648	0.8830870279	0.334399855
649	0.8830870279	0.3342192551
650	0.8829228243	0.3340398378
651	0.8830870279	0.3339028745
652	0.8830870279	0.3337465684
653	0.8832512315	0.3335755697
654	0.8832512315	0.3333902794
655	0.8832512315	0.3331841029
656	0.8832512315	0.3329729553
657	0.8832512315	0.3328193552
658	0.8832512315	0.3326622473
659	0.8832512315	0.3325427026
660	0.8832512315	0.332369058
661	0.8830870279	0.3322351014
662	0.8830870279	0.332143258
663	0.8830870279	0.331993767
664	0.8830870279	0.3318613738
665	0.8830870279	0.3317053283
666	0.8834154351	0.3315460756
667	0.8835796388	0.3313158659
668	0.8835796388	0.3311227983
669	0.8834154351	0.3309119314
670	0.8835796388	0.3307798389
671	0.8832512315	0.3306200049
672	0.8835796388	0.3304120645
673	0.8835796388	0.3302602884
674	0.8835796388	0.3300944211
675	0.8835796388	0.3299408009
676	0.8835796388	0.3298127574
677	0.8837438424	0.3296347231
678	0.883908046	0.3294651075
679	0.883908046	0.3293261398
680	0.8842364532	0.3291646622
681	0.8840722496	0.3289759243
682	0.8840722496	0.3287792688
683	0.8845648604	0.3286079494
684	0.8852216749	0.328434806
685	0.8848932677	0.3283073237
686	0.884729064	0.3281904048
687	0.8848932677	0.3280162993
688	0.8850574713	0.3278728015
689	0.8848932677	0.3277435954
690	0.8848932677	0.3276678677
691	0.8848932677	0.327499555
692	0.8852216749	0.3273818343
693	0.8853858785	0.3272339469
694	0.8853858785	0.3270630083
695	0.8853858785	0.3269251831
696	0.8857142857	0.3267570709
697	0.8857142857	0.3266047536
698	0.8857142857	0.3264463829
699	0.8858784893	0.3263312078
700	0.8858784893	0.3261823983
701	0.8858784893	0.3260509472
702	0.8857142857	0.3259085319
703	0.8858784893	0.3257820718
704	0.8857142857	0.3255980443
705	0.8862068966	0.3254168431
706	0.8863711002	0.3252894409
707	0.8863711002	0.3251664085
708	0.886863711	0.3250008018
709	0.8871921182	0.3248736803
710	0.886863711	0.3247271959
711	0.8871921182	0.3245947025
712	0.8871921182	0.3244501224
713	0.8870279146	0.3242799054
714	0.8873563218	0.3241045972
715	0.8875205255	0.3239604981
716	0.8873563218	0.3237724417
717	0.8878489327	0.323678634
718	0.8880131363	0.3235554412
719	0.8883415435	0.3233974914
720	0.8880131363	0.3232619513
721	0.8883415435	0.3231095738
722	0.8886699507	0.3229293347
723	0.888998358	0.3228297342
724	0.8888341544	0.3227384721
725	0.8888341544	0.3225913864
726	0.8888341544	0.3224404922
727	0.8886699507	0.3222654847
728	0.8888341544	0.3221357975
729	0.8886699507	0.3219868878
730	0.8886699507	0.3218183947
731	0.8888341544	0.3216587612
732	0.8891625616	0.3214874618
733	0.8891625616	0.3213298729
734	0.8893267652	0.3211936512
735	0.8893267652	0.3210072785
736	0.8894909688	0.3208686916
737	0.8894909688	0.3206829203
738	0.8896551724	0.3205211019
739	0.8896551724	0.3203733948
740	0.8894909688	0.3202361108
741	0.8894909688	0.320088945
742	0.8894909688	0.3199603602
743	0.8896551724	0.3197713417
744	0.8896551724	0.3196327548
745	0.8899835796	0.3195046311
746	0.889819376	0.3193401869
747	0.889819376	0.3192070521
748	0.8899835796	0.3191111197
749	0.8901477833	0.3189600451
750	0.8901477833	0.3188198747
751	0.889819376	0.3186835929
752	0.8899835796	0.3185290307
753	0.889819376	0.3183721232
754	0.8899835796	0.3181901202
755	0.8901477833	0.3180405891
756	0.8899835796	0.3178862874
757	0.8901477833	0.3177287185
758	0.8904761905	0.3175598846
759	0.8906403941	0.317401554
760	0.8909688013	0.3173313385
761	0.8909688013	0.3172098294
762	0.8909688013	0.3170263231
763	0.8909688013	0.3168590326
764	0.8909688013	0.3166646622
765	0.8911330049	0.3164855055
766	0.8911330049	0.3163182952
767	0.8912972085	0.3161631918
768	0.8912972085	0.3160055226
769	0.8912972085	0.315874733
770	0.8917898194	0.3157424601
771	0.8916256158	0.3156107084
772	0.8914614122	0.3155023885
773	0.8916256158	0.315361276
774	0.8914614122	0.3152470431
775	0.8914614122	0.315153095
776	0.8916256158	0.3150289
777	0.8914614122	0.3148583624
778	0.8916256158	0.3147775835
779	0.8916256158	0.3146022953
780	0.8921182266	0.3144063214
781	0.8922824302	0.3142584539
782	0.8924466338	0.3140556849
783	0.8926108374	0.3139177795
784	0.8926108374	0.3138056312
785	0.8929392447	0.3136600087
786	0.8927750411	0.3135240677
787	0.8922824302	0.3133613474
788	0.8922824302	0.313194979
789	0.8921182266	0.3130669354
790	0.8921182266	0.31293805
791	0.8922824302	0.3127976792
792	0.8924466338	0.3126563462
793	0.8926108374	0.3124755458
794	0.8924466338	0.3123734798
795	0.8922824302	0.3122137261
796	0.8924466338	0.3121325062
797	0.8924466338	0.3119943603
798	0.8931034483	0.3118365709
799	0.8931034483	0.31170067
800	0.8931034483	0.3115378695
801	0.8937602627	0.3113836079
802	0.8935960591	0.3112841877
803	0.8934318555	0.3111275208
804	0.8934318555	0.3109923815
805	0.8935960591	0.3108527122
806	0.8939244663	0.3107228046
